Household_ID,City,Latitude,House_Type,Roof_Type,Roof_Pitch,Roof_Azimuth,Floors,Financed,Year,Panel_Capacity,Shading,Generation
A553C5784D,Brisbane,,,Steel,10.0,21.0,Double,No,2019,5040,None,10163.796
1A12B988A0,Brisbane,-27.217398,Timber Frame,Tile,35.0,50.0,Single,Yes,2011,5880,,10876.91
D23C0BBB05,Brisbane,-27.252449,Double Brick,,20.0,272.0,Single,Yes,2018,5040,,9400.415
E67A638AD3,Brisbane,-27.042364,Timber Frame,Steel,35.0,247.0,,Yes,2012,5040,None,7747.349
7F266FCAD1,Brisbane,-27.432734,Other,Steel,10.0,39.0,Double,Yes,2012,5880,None,10987.674
F9E101CA63,Brisbane,-27.677593,Timber Frame,Tile,12.5,158.0,Single,Yes,2020,7980,None,14452.109
DAF9491C79,Brisbane,-27.236922,Timber Frame,Tile,30.0,183.0,Other,No,2013,6300,Partial,6999.213
8EA0ED0096,Brisbane,-27.090826,Timber Frame,,25.0,349.0,Double,No,2018,7560,None,15738.427
1859089367,Brisbane,-27.637416,Timber Frame,Steel,10.0,359.0,Other,Yes,2021,6300,None,12963.873
4D66141F81,Brisbane,-26.995016,Timber Frame,,20.0,,Single,No,2010,7560,None,14454.415
6341B22A88,Brisbane,-27.765785,Timber Frame,Tile,20.0,290.0,Single,Yes,2016,6720,None,12568.536
60338967BA,Brisbane,-27.611155,Timber Frame,,25.0,48.0,Double,No,2020,5460,None,11250.236
F2F0CAF73B,Brisbane,-27.327907,Timber Frame,,30.0,182.0,Double,Yes,2018,5880,None,8590.26
0558D011FC,Brisbane,-27.442268,Timber Frame,Steel,35.0,224.0,,No,2021,5040,None,7684.467
C4AA8DCEAF,Brisbane,-27.081492,Timber Frame,Tile,30.0,255.0,Single,No,2011,7560,None,12068.468
B4F10FCE58,Brisbane,-27.17583,Timber Frame,Tile,20.0,23.0,Single,No,2015,7560,None,15144.878
DAE6E10BD3,Brisbane,-27.410377,,Steel,22.5,243.0,Double,Yes,2020,7140,None,12572.625
0A238D8D59,Brisbane,-27.246316,Other,Tile,30.0,257.0,Other,Yes,2011,5880,None,9419.659
A6B25D198C,Brisbane,-27.478463,Timber Frame,Other,35.0,33.0,Double,Yes,2020,7140,None,14784.708
31DA7DBA0B,Brisbane,,Timber Frame,,30.0,351.0,Other,Yes,2017,7140,None,14660.694
E4053A97EB,Brisbane,-27.518991,Timber Frame,Tile,5.0,38.0,Double,Yes,2021,7560,None,15151.171
5581193A51,Brisbane,-27.522583,Timber Frame,Other,5.0,320.0,Double,No,2020,5460,None,10763.728
D9340429F3,Brisbane,-27.26379,Double Brick,Steel,30.0,96.0,Single,Yes,2020,5040,None,9296.87
